Word,Count
{,107
=,66
});,47
function,43
},41
the,28
+,28
if,27
//,22
var,18
to,17
(response),17
,14
new,14
==,14
(),13
\},\,12
-,12
0;,10
visits,10
'vm')),10
in,10
default,10
*,10
for,9
a,9
else,8
deferred.resolve(response.data);,8
branchId:,8
set,8
list.push(response.data);,8
deferred.reject(response.data);,8
$http.get(serviceBase,8
params:,8
we,8
\'',\,8
and,8
(val),7
delete,7
create,7
0),7
is,7
&&,7
deferred.resolve(val);,7
as,6
\headers,\,6
\status,\,6
\$rootScope.$emit('ON_PIANO_INIT',\,6
use,6
Склад,6
config),6
\(data,\,6
chart,6
security,6
branchId,6
vm.users[k];,6
\newDate,\,5
Math.round(Math.random(),5
listReportBlank.push(response.data);,5
\"\visits"\:\,5
\"\date"\:\,5
day);,5
<,5
Date(firstDate);,5
\'ReportBlank/',\,5
isClosed,5
newDate.setDate(newDate.getDate(),5
newDate,5
40),5
add,5
}).then(,5
isClosed:,5
\branchId,\,5
object,4
vm.newTask.question_octaves);,4
};,4
controllers,4
\$scope.$watch('vm.newTask.question_octaves',\,4
that,4
(listReportBlank.length,4
1000);,4
field,4
path,4
vm.message.status,4
be,4
views,4
day++),4
from,4
Процент,4
chartData.push({,4
vm.message.code,4
правельных,4
day,4
values,4
console.log(chartData);,4
\angular.forEach(listReportBlank,\,4
not,4
',4
false;,4
Всего,4
Правельных,4
since,4
value,4
0,4
of,4
(day,4
will,4
50;,4
jshint,4
закрыт,3
.then(,3
date,3
responseType:,3
type:,3
serviceBase,3
'arraybuffer',3
'application/x-www-form-urlencoded;charset=utf-8';,3
\"\GET"\,\,3
'GetReportBlank/?branchId=',3
failed,3
vm.password);,3
deletedObjects);,3
or,3
\'&val=false',\,3
}).error(function,3
console.error(branchId);,3
(list.length,3
it's,3
setTimeout(function,3
массив,3
any,3
are,3
well,3
$window.location.reload();,3
url:,3
объектов:,3
Получаем,3
$http({,3
objectUrl,3
remove,3
//upload,3
here,3
graph,3
1,3
blob,3
\"\application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"\\,3
$http.defaults.headers.post['Content-Type'],3
method:,3
all,3
}),3
them,3
IsClosed:,3
some,3
складов,3
\angular.forEach(list,\,3
состояний,3
}).success(function,3
\'Current/',\,3
\'customers/',\,3
\Blob([data],\,3
toastr.success('Удалено,3
URL.createObjectURL(blob);,3
window.open(objectUrl);,3
vm.chart.dataProvider.push({,3
открыт,3
controller,3
!==,2
\2010,\,2
expenses:,2
vm.currentTest.Questions[vm.currentQuestion].Content.octaves);,2
\"\success"\;\,2
(response.success,2
\values,\,2
an,2
folder,2
doesnt,2
array,2
should,2
but,2
data,2
позиционирование,2
response.message;,2
Server-side,2
\route.resolve('Login',\,2
выполнен,2
you,2
{};,2
assign,2
beginning,2
\"\error"\;\,2
$scope.userForm,2
\(event,\,2
\'vm',\,2
'';,2
framework,2
return;,2
around,2
\angular.forEach(vm.selectedTeachers,\,2
into,2
(vm.currentTest.Questions[vm.currentQuestion].QuestionType,2
axis,2
vm.chart.validateData();,2
\(vTeacher,\,2
\specified,\,2
\authService.SetCredentials(vm.username,\,2
category,2
using,2
(response.success),2
easily,2
\$scope.$watch('vm.currentTest.Questions[vm.currentQuestion].Content.octaves',\,2
normally,2
on,2
2),2
успешно!');,2
vm.currentBranch,2
generateChartData();,2
MUST,2
//The,2
second,2
client-based,2
i,2
null,2
scope.octaves,2
$routeParams.redirect),2
ignore:line,2
[];,2
income:,2
vm.currentInputGroup.Teachers.push(kTeacher);,2
attempt,2
test.allCount,2
\35.2,\,2
your,2
amCharts,2
vm.dataGraph1,2
year:,2
